APOLLO INTL FWD.,"20394-00",47/20/2016,FALSE,47/19/2016,FALSE,,,,,,,,,,0,"NET 30 DAYS",20100,"Air Freight",,,FALSE,2,1,1,"DOCUMENTACION","APROXIMADO POR ENVIO AÉREO",52500,67.00,67.00,"2016-0018,APOLLO INTL FWD.,Documentation"
APOLLO INTL FWD.,"20394-00",47/20/2016,FALSE,47/19/2016,FALSE,,,,,,,,,,0,"NET 30 DAYS",20100,"Air Freight",,,FALSE,2,2,1,"AIR FREIGHT","APROXIMADO HASTA LIMA - PERU",51300,180.00,180.00,"2016-0018,APOLLO INTL FWD.,Air Freight"
